;Bzip2 @bzip2;Crypt @bzip2;Cat@bzip2;cp@bzip2;…;Grep @ gzip;Gzip @ gzip
Bzip2 @bzip2;0;1.102869;2.4386345;2.4250186;;1.2633136;0.5690718
Crypt @bzip2;1.102869;0;2.6056928;2.5741534;;0.5302071;1.6175143
Cat@bzip2;2.4386345;2.6056928;0;0.0501223;;3.1076937;2.2385216
cp@bzip2;2.4250186;2.5741534;0.0501223;0;;3.0771376;2.2355895
dd@bzip2;5.0252066;4.2494446;4.0022146;3.9707719;;4.6279707;5.2554733
Grep@bzip2;1.2525575;0.5336179;3.1080279;3.0776579;;0.0149488;1.817609
Gzip@bzip2;0.5760883;1.6706953;2.4515783;2.4493552;;1.8264631;0.2241569
Bzip2 @crypt;0.2172969;0.9282131;2.4547679;2.4370193;;1.084986;0.7486825
Crypt @crypt;1.2447313;0.2841369;2.515042;2.4800047;;0.6798471;1.7234778
Cat @ crypt;2.4081187;2.459687;0.3298372;0.2815878;;2.9627743;2.2731623
cp @ crypt;2.4135763;2.4695297;0.3190288;0.2710900;;2.9724883;2.2758141
dd @ crypt;5.0868376;4.2942036;4.0676885;4.0352312;;4.6669795;5.3238229
Grep @ crypt;1.2926098;0.5070597;3.0493338;3.0172721;;0.1672786;1.8466285
Gzip @ crypt;0.4752394;1.4734599;2.1522185;2.1460257;;1.7091792;0.1684164
…;;;;;;;
;;;;;;;
Grep @ gzip;1.2633136;0.5302071;3.1076937;3.0771376;;0;1.8279515
Gzip @ gzip;0.5690718;1.6175143;2.2385216;2.2355895;;1.8279515;0
