\,Bzip2 @bzip2,Crypt @bzip2,Cat@bzip2,cp@bzip2,dd@bzip2,Grep@bzip2,Gzip@bzip2,Bzip2 @crypt,Crypt @crypt,Cat @ crypt,cp @ crypt,dd @ crypt,Grep @ crypt,Gzip @ crypt,Bzip2 @ cat,Crypt @ cat,Cat @ cat,cp @ cat,dd @ cat,Grep @ cat,Gzip @ cat,Bzip2 @ cp,Crypt @ cp,Cat @ cp,cp @ cp,dd @ cp,Grep @ cp,Gzip @ cp,Bzip2 @ dd,Crypt @ dd,Cat@ dd,cp @ dd,dd  @ dd,Grep @ dd,Gzip@ dd,Bzip2 @ grep,Crypt@ grep,Cat@ grep,cp@ grep,dd @ grep,Grep@ grep,Gzip@ grep,Bzip2 @gzip,Crypt@gzip,Cat@gzip,cp@gzip,dd @ gzip,Grep @ gzip,Gzip @ gzip
Bzip2 @bzip2,0,1.102869,2.4386345,2.4250186,5.0252066,1.2525575,0.5760883,0.2172969,1.2447313,2.4081187,2.4135763,5.0868376,1.2926098,0.4752394,1.5150822,1.93455,2.5874997,2.5402649,5.2135163,1.7739463,1.4927017,1.5196684,2.0206411,2.5262376,2.6413076,5.131006,1.785579,1.4721303,3.5570134,5.0410315,4.143027,4.3526437,5.8806966,3.4020482,3.8464953,0.2154590,2.0465425,2.5020833,2.5113407,5.1618794,1.2581792,0.9462608,0.2329739,1.1219666,2.4117825,2.3944854,5.1618936,1.2633136,0.5690718
Crypt @bzip2,1.102869,0,2.6056928,2.5741534,4.2494446,0.5336179,1.6706953,0.9282131,0.2841369,2.459687,2.4695297,4.2942036,0.5070597,1.4734599,1.0987318,1.2067686,2.3508811,2.3239654,4.4119151,1.031212,1.2036613,1.1124384,1.3149361,2.3367124,2.3870146,4.3361229,1.0440581,1.1964177,3.1291139,4.5055196,3.6459269,3.843746,4.9985901,2.889453,3.4203933,1.2790758,1.8686566,2.7427235,2.7575494,4.3849297,0.5313964,2.025948,0.9577899,0.0608763,2.5183473,2.5001196,4.3646041,0.5302071,1.6175143
Cat@bzip2,2.4386345,2.6056928,0,0.0501223,4.0022146,3.1080279,2.4515783,2.4547679,2.515042,0.3298372,0.3190288,4.0676885,3.0493338,2.1522185,2.1618717,2.5213424,1.1547897,1.0877115,4.212042,2.9237044,1.9835034,2.1360535,2.539918,1.0405391,1.2324421,4.1456277,2.9226626,1.9656072,3.1541792,4.4660853,3.0098609,3.2845333,4.8361179,3.3433321,3.3681727,2.535416,0.9076718,0.2491734,0.2679734,4.1442819,3.1128529,2.5479368,2.328695,2.574742,0.1691906,0.1904823,4.074005,3.1076937,2.2385216
cp@bzip2,2.4250186,2.5741534,0.0501223,0,3.9707719,3.0776579,2.4493552,2.4370193,2.4800047,0.2815878,0.2710900,4.0352312,3.0172721,2.1460257,2.1234414,2.4777825,1.1075376,1.0401556,4.1797006,2.884198,1.9460838,2.0975476,2.4958556,0.9935013,1.1857126,4.1136523,2.8830317,1.9284777,3.1131275,4.4252396,2.9688046,3.2438159,4.798038,3.3002509,3.3279476,2.5254619,0.8638221,0.2974646,0.3164679,4.1134763,3.0825858,2.5530761,2.3112449,2.5425133,0.1199891,0.1422378,4.0404677,3.0771376,2.2355895
dd@bzip2,5.0252066,4.2494446,4.0022146,3.9707719,0,4.6388473,5.3952346,4.9389854,4.1586968,3.8473472,3.8543214,0.1439862,4.5929679,5.1159913,4.3140295,4.0776397,3.6127151,3.6258108,0.2386896,4.4716304,4.3296677,4.3036194,4.0931154,3.6705392,3.6161681,0.1546329,4.4685643,4.3311421,4.749811,5.2801633,3.9959441,4.1855971,1.4794159,4.7723055,4.8780152,5.165844,3.4828331,4.1157139,4.1272461,0.1572252,4.624826,5.6104701,4.8875526,4.2272217,3.9094876,3.9193052,0.4016998,4.6279707,5.2554733
Grep@bzip2,1.2525575,0.5336179,3.1080279,3.0776579,4.6388473,0,1.8148982,1.0749498,0.6866363,2.9643931,2.974066,4.6781459,0.1758042,1.6995885,1.4057371,1.444284,2.8264454,2.8038558,4.7888002,1.0526392,1.5432231,1.4264869,1.5444788,2.8168937,2.8561928,4.714734,1.0683478,1.5404914,3.3382078,4.6767167,3.9804837,4.1544041,5.3382696,3.0335836,3.6252365,1.3942285,2.3928148,3.2413803,3.255731,4.7699131,0.0349638,2.1704643,1.1581647,0.5652905,3.0233593,3.0038961,4.7522724,0.0149488,1.817609
Gzip@bzip2,0.5760883,1.6706953,2.4515783,2.4493552,5.3952346,1.8148982,0,0.7779772,1.8039616,2.4908413,2.4935011,5.4650009,1.861476,0.3554376,1.9515744,2.4277723,2.8144705,2.7596129,5.5947643,2.302873,1.8853589,1.9516007,2.5047266,2.7342271,2.8750254,5.5094379,2.3134447,1.8622625,3.8898054,5.3937498,4.4597289,4.6754598,6.3041904,3.7841425,4.1713757,0.4316363,2.2676561,2.4648586,2.4700764,5.5308327,1.819925,0.3838290,0.7519602,1.6887983,2.4620439,2.4474609,5.5429145,1.8264631,0.2241569
Bzip2 @crypt,0.2172969,0.9282131,2.4547679,2.4370193,4.9389854,1.0749498,0.7779772,0,1.0536998,2.3949659,2.4013729,4.9955688,1.0987376,0.6310700,1.3351682,1.7356612,2.5049672,2.4621945,5.1216221,1.5577208,1.3317777,1.3420485,1.8226376,2.4521369,2.5539733,5.0416348,1.5694739,1.3130853,3.39013,4.8649406,3.9982189,4.2021302,5.7548287,3.2174484,3.6808801,0.4215056,1.9997742,2.538816,2.5494798,5.0771225,1.0838321,1.1553266,0.1295695,0.9430889,2.4131542,2.3941968,5.0646076,1.084986,0.7486825
Crypt @crypt,1.2447313,0.2841369,2.515042,2.4800047,4.1586968,0.6866363,1.8039616,1.0536998,0,2.3393563,2.3498654,4.1963919,0.5868161,1.568118,0.8546796,0.9240695,2.1508546,2.1300114,4.3162609,0.8091601,0.9801832,0.8693246,1.0324004,2.1462016,2.1800496,4.2454839,0.8199905,0.9769160,2.850338,4.2226403,3.3725157,3.5662784,4.8453754,2.6123944,3.1410036,1.4412276,1.750327,2.672632,2.6885882,4.2983534,0.6947736,2.169095,1.0610564,0.2243545,2.413653,2.3934849,4.2499918,0.6798471,1.7234778
Cat @ crypt,2.4081187,2.459687,0.3298372,0.2815878,3.8473472,2.9643931,2.4908413,2.3949659,2.3393563,0,0.0127339,3.9038953,2.8910943,2.1673206,1.935864,2.2589999,0.8264790,0.7587598,4.0489736,2.6942629,1.762609,1.9093281,2.2703456,0.7127687,0.9054206,3.9868159,2.6919841,1.7474656,2.8522673,4.1595559,2.7047735,2.9802096,4.6149387,3.0382973,3.0679677,2.5295787,0.6988105,0.5785080,0.5973155,3.993945,2.9707216,2.6336366,2.271102,2.4230404,0.1621583,0.1422253,3.8976042,2.9627743,2.2731623
