,Bzip2 @bzip2,Crypt @bzip2,Cat@bzip2,cp@bzip2,dd@bzip2,Grep@bzip2,Gzip@bzip2,Bzip2 @crypt,Crypt @crypt,…
Bzip2 @bzip2,0,1.102869,2.4386345,2.4250186,5.0252066,1.2525575,0.5760883,0.2172969,1.2447313,
Crypt @bzip2,1.102869,0,2.6056928,2.5741534,4.2494446,0.5336179,1.6706953,0.9282131,0.2841369,
Cat@bzip2,2.4386345,2.6056928,0,0.0501223,4.0022146,3.1080279,2.4515783,2.4547679,2.515042,
cp@bzip2,2.4250186,2.5741534,0.0501223,0,3.9707719,3.0776579,2.4493552,2.4370193,2.4800047,
dd@bzip2,5.0252066,4.2494446,4.0022146,3.9707719,0,4.6388473,5.3952346,4.9389854,4.1586968,
Grep@bzip2,1.2525575,0.5336179,3.1080279,3.0776579,4.6388473,0,1.8148982,1.0749498,0.6866363,
Gzip@bzip2,0.5760883,1.6706953,2.4515783,2.4493552,5.3952346,1.8148982,0,0.7779772,1.8039616,
Bzip2 @crypt,0.2172969,0.9282131,2.4547679,2.4370193,4.9389854,1.0749498,0.7779772,0,1.0536998,
Crypt @crypt,1.2447313,0.2841369,2.515042,2.4800047,4.1586968,0.6866363,1.8039616,1.0536998,0,
Cat @ crypt,2.4081187,2.459687,0.3298372,0.2815878,3.8473472,2.9643931,2.4908413,2.3949659,2.3393563,
cp @ crypt,2.4135763,2.4695297,0.3190288,0.2710900,3.8543214,2.974066,2.4935011,2.4013729,2.3498654,
dd @ crypt,5.0868376,4.2942036,4.0676885,4.0352312,0.1439862,4.6781459,5.4650009,4.9955688,4.1963919,
Grep @ crypt,1.2926098,0.5070597,3.0493338,3.0172721,4.5929679,0.1758042,1.861476,1.0987376,0.5868161,
Gzip @ crypt,0.4752394,1.4734599,2.1522185,2.1460257,5.1159913,1.6995885,0.3554376,0.6310700,1.568118,
Bzip2 @ cat,1.5150822,1.0987318,2.1618717,2.1234414,4.3140295,1.4057371,1.9515744,1.3351682,0.8546796,
Crypt @ cat,1.93455,1.2067686,2.5213424,2.4777825,4.0776397,1.444284,2.4277723,1.7356612,0.9240695,
Cat @ cat,2.5874997,2.3508811,1.1547897,1.1075376,3.6127151,2.8264454,2.8144705,2.5049672,2.1508546,
cp @ cat,2.5402649,2.3239654,1.0877115,1.0401556,3.6258108,2.8038558,2.7596129,2.4621945,2.1300114,
dd @ cat,5.2135163,4.4119151,4.212042,4.1797006,0.2386896,4.7888002,5.5947643,5.1216221,4.3162609,
Grep @ cat,1.7739463,1.031212,2.9237044,2.884198,4.4716304,1.0526392,2.302873,1.5577208,0.8091601,
Gzip @ cat,1.4927017,1.2036613,1.9835034,1.9460838,4.3296677,1.5432231,1.8853589,1.3317777,0.9801832,
Bzip2 @ cp,1.5196684,1.1124384,2.1360535,2.0975476,4.3036194,1.4264869,1.9516007,1.3420485,0.8693246,
Crypt @ cp,2.0206411,1.3149361,2.539918,2.4958556,4.0931154,1.5444788,2.5047266,1.8226376,1.0324004,
…,,,,,,,,,,
