\,v1
i1,0.9459441
i2,0.9487319
i3,0.6628938
i4,0.6465861
i5,0.8785234
i6,0.8044399
i7,1.0757524
i8,0.9202348
i9,0.8812926
i10,0.5823585
i11,0.5858705
i12,0.8207051
i13,0.7826676
i14,0.9355609
i15,0.5698206
i16,0.7127452
i17,0.4029380
i18,0.4118448
i19,0.7793715
i20,0.6799015
i21,0.5593700
i22,0.5618850
i23,0.7054977
i24,0.4269562
i25,0.3948467
i26,0.7839808
i27,0.6784094
i28,0.5609119
i29,0.3250593
i30,0.3889255
i31,0.2338506
i32,0.1999059
i33,0.3500783
i34,0.4382481
i35,0.2937172
i36,1.0031521
i37,0.3611063
i38,0.7257827
i39,0.7304886
i40,0.9167994
i41,0.8021211
i42,1.1279607
i43,0.8849525
i44,0.9340912
i45,0.6184785
i46,0.6110009
i47,0.8658553
i48,0.8031626
i49,0.9941937
